id,agency,date,title,category,hazard,remedy,url
26-669,CPSC,2026-08-06,Play Yard and Crib Mattresses Recalled Due to Risk of Serious Injury or Death from Entrapment and Fire Hazards; Violate Mandatory Standards for Mattresses; Sold on Amazon by Voomf,Cribs & Sleep,"The recalled mattresses violate the mandatory safety standard for crib mattresses because the mattresses may not adequately fit certain play yards, posing a deadly entrapment hazard.",Consumers should stop using the mattresses immediately and contact Voomf for a full refund.,https://www.cpsc.gov/Recalls/2026/Play-Yard-and-Crib-Mattresses-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Entrapment-and-Fire-Hazards-Violate-Mandatory-Standards-for-Mattresses-Sold-on-Amazon-by-Voomf
26-671,CPSC,2026-08-06,Little Rawr Pull String Teething Toys Recalled Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys; Sold on Amazon by Okabesini-us,Feeding & High Chairs,"The recalled teething toys violate the mandatory standard for toys because the silicone strings are smaller and longer than permitted. The strings can reach the back of children’s throat and become lodged, posing a serious risk of respiratory distress and a deadly choking hazard.","Consumers should stop using the teething toy immediately, take it away from children and contact Okabesini-us to receive a full refund.",https://www.cpsc.gov/Recalls/2026/Little-Rawr-Pull-String-Teething-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-Okabesini-us
26-672,CPSC,2026-08-06,Syera Projecting Finger Light Toys Recalled Due to Risk of Serious Injury from Battery Ingestion; Violate Mandatory Standard for Toys; Sold on TEMU by Senyu,Toys & Games,The recalled LED finger lights violate the mandatory safety standard for toys because they contain button cell batteries that can be easily accessed by children.,"Consumers should stop using the recalled toys immediately, take them away from children and contact Syera for a full refund. Consumers will be asked to remove and properly dispose of the finger lights into the trash and send a photo of the disposed product to syerarecallusa@outlook.com.",https://www.cpsc.gov/Recalls/2026/Syera-Projecting-Finger-Light-Toys-Recalled-Due-to-Risk-of-Serious-Injury-from-Battery-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-TEMU-by-Senyu
26C005000,NHTSA,2026-08-06,"Evenflo Company, Inc. Recalls Child Restraints: Incorrect Indicator for Recline Position/FMVSS 213",Car Seats,A child seat that is not reclined as intended increases the risk of injury in a crash.,"The remedy for this recall is currently under development. Interim letters, notifying owners of the safety risk, are expected to be mailed beginning September 1, 2026. Additional letters will be sent once the remedy is available. Owners may contact Evenflo customer service at 1-800-233-5921.",https://www.nhtsa.gov/recalls?nhtsaId=26C005000
26-651,CPSC,2026-07-30,HARPPA Recalls Nordi Toddler Tower Stools Due to Risk of Serious Injury and Death from Entrapment and Fall Hazards,Kids Furniture & Storage,"The recalled tower stools can collapse or tip over while in use, and a child’s torso can fit through the openings on the front and back sides, posing a risk of serious injury and death due to tip over, fall and entrapment hazards.","Consumers should stop using the recalled stools immediately and store them away from children. Contact HARPPA for a free repair kit, including shipping. The repair kit consists of protective nets, stabilizing feet and installation instructions.",https://www.cpsc.gov/Recalls/2026/HARPPA-Recalls-Nordi-Toddler-Tower-Stools-Due-to-Risk-of-Serious-Injury-and-Death-from-Entrapment-and-Fall-Hazards
26-655,CPSC,2026-07-30,Mangohood Direct Kids Kitchen Standing Towers Recalled Due to Risk of Serious Injury and Death from Entrapment and Fall Hazards; Imported by Hangzhou Xinyanchuangxin,Kids Furniture & Storage,"The recalled tower stools can collapse or tip over while in use, and a child’s torso can fit through the openings on the front and back sides, posing a risk of serious injury and death due to tip over, fall and entrapment hazards.","Consumers should stop using the recalled tower stools immediately and store them away from children until repaired. Contact Hangzhou Xinyanchuangxin for repair parts, which include stabilizing feet and installation instructions.",https://www.cpsc.gov/Recalls/2026/Mangohood-Direct-Kids-Kitchen-Standing-Towers-Recalled-Due-to-Risk-of-Serious-Injury-and-Death-from-Entrapment-and-Fall-Hazards-Imported-by-Hangzhou-Xinyanchuangxin
26-656,CPSC,2026-07-30,Mommy’s Baby Lovely Deluxe Baby Doll Playsets Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Violate Small Parts Ban; Sold on Temu by TOYHW,Toys & Games,"The recalled doll playsets violate the small parts ban because the toys are for children under three years old and some of the accessories are small parts, posing a deadly choking hazard.","Consumers should stop using the recalled toys immediately, take them away from children, and contact TOYHW for a full refund. Consumers will be asked to throw away the baby doll playset and email a photo of the disposed product to TOYHWRecall@163.com to receive a full refund.",https://www.cpsc.gov/Recalls/2026/Mommys-Baby-Lovely-Deluxe-Baby-Doll-Playsets-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Hazard-Violate-Small-Parts-Ban-Sold-on-Temu-by-TOYHW
26-657,CPSC,2026-07-30,Recall of Cpzzkq Baby Loungers Expanded Due to Risk of Serious Injury or Death from Suffocation Hazard; Violate Mandatory Standard for Infant Support Cushions; Sold on Amazon by CetoPMax,Cribs & Sleep,"The recalled baby loungers violate the mandatory safety standard for infant support cushions because the padding can obstruct an infant’s breathing, posing a serious risk of injury or deadly suffocation hazard.","Consumers should stop using the baby loungers immediately and contact CetoPMax for a refund. Consumers will be asked to remove the foam and pad from the baby lounger’s cover and cut the cover, foam and pad in half.",https://www.cpsc.gov/Recalls/2026/Recall-of-Cpzzkq-Baby-Loungers-Expanded-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-Hazard-Violate-Mandatory-Standard-for-Infant-Support-Cushions-Sold-on-Amazon-by-CetoPMax
26-658,CPSC,2026-07-30,Woodure Toddler Kitchen Step Stools Recalled Due to Risk of Serious Injury and Death from Entrapment and Fall Hazards; Imported by Shenzhen Muqiqu Creative Development,Kids Furniture & Storage,"The recalled tower stools can collapse or tip over while in use, and a child’s torso can fit through the openings on the front and back sides, posing a risk of serious injury and death due to tip over, fall and entrapment hazards.","Consumers should stop using the recalled tower stools immediately and store them away from children. Contact Shenzhen Muqiqu Creative Development for a repair kit, which includes protective nets, stabilizing feet and installation instructions.",https://www.cpsc.gov/Recalls/2026/Woodure-Toddler-Kitchen-Step-Stools-Recalled-Due-to-Risk-of-Serious-Injury-and-Death-from-Entrapment-and-Fall-Hazards-Imported-by-Shenzhen-Muqiqu-Creative-Development
26-635,CPSC,2026-07-23,Aojieni Silicone Recalls Sili Factory Pull String Teething Toys Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys,Feeding & High Chairs,"The recalled teething toys violate the mandatory standard for toys because the silicone strings are smaller and longer than permitted. The strings can reach the back of children’s throat and become lodged, posing a serious risk of respiratory distress and deadly choking hazard.","Consumers should stop using the teething toy immediately, take it away from children and contact Aojieni Silicone to receive a full refund.",https://www.cpsc.gov/Recalls/2026/Aojieni-Silicone-Recalls-Sili-Factory-Pull-String-Teething-Toys-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violate-Mandatory-Standard-for-Toys
26-638,CPSC,2026-07-23,CuddleCubs Creations Teething Toy Sets Recalled Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys; Sold on Amazon by YouRfocus,Feeding & High Chairs,The recalled teething toy sets contain a pull string teething toy that violates the mandatory standard for toys because the silicone strings are smaller and longer than permitted.,"Consumers should stop using the pull string teething toys immediately, take them away from children and contact YouRfocus for a full refund.",https://www.cpsc.gov/Recalls/2026/CuddleCubs-Creations-Teething-Toy-Sets-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-YouRfocus
26-639,CPSC,2026-07-23,Peony Design Recalls Personalized Baby Bibs and Stroller Bags Due to Risk of Serious Injury or Death from Choking Hazard,Strollers & Carriers,"The snap can detach from the recalled bibs and stroller bags, posing a risk of serious injury or death from a choking hazard to young children.","Consumers should take the recalled baby bibs and stroller bags away from children immediately, stop using them, and contact Peony Design to receive a full refund. Consumers will be asked to discard the recalled baby bibs and stroller bags.",https://www.cpsc.gov/Recalls/2026/Peony-Design-Recalls-Personalized-Baby-Bibs-and-Stroller-Bags-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Hazard
26C004000,NHTSA,2026-07-17,"Evenflo Company, Inc. Recalls Child Restraints: Headrest Position May Shift in a Crash/FMVSS 213",Car Seats,A headrest that shifts unexpectedly may increase the risk of injury in a crash.,"The remedy for this recall is currently under development. Interim letters, notifying owners of the safety risk, are expected to be mailed August 17, 2026. Additional letters will be sent once the remedy is available. Owners may contact Evenflo customer service at 1-800-233-5921.",https://www.nhtsa.gov/recalls?nhtsaId=26C004000
26-617,CPSC,2026-07-16,Oitnlaughter Projecting Finger Light Toys Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by Delightmi,Toys & Games,The recalled finger lights violate the mandatory safety standard for toys because they contain button cell batteries that can be easily accessed by children.,"Consumers should stop using the recalled toys immediately, take them away from children and contact Delightmi for a full refund. Consumers will be asked to properly dispose of the finger lights into the trash and send a photo of the disposed product to delightmi@outlook.com.",https://www.cpsc.gov/Recalls/2026/Oitnlaughter-Projecting-Finger-Light-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-Delightmi
26-620,CPSC,2026-07-16,TOMY Recalls Boon PIVOT Collapsible Toddler Tower Kitchen Step Stools Due to Risk of Serious Injury and Death from Tip-Over and Fall Hazards,Kids Furniture & Storage,"The recalled toddler towers can tip over while in use, posing a risk of serious injury and death, due to tip over and fall hazards.",Consumers should stop using the recalled tower stools immediately and store them away from children until repaired. Contact TOMY for a stabilizing repair part and installation instructions. The firm will mail the free repair parts directly to consumers.,https://www.cpsc.gov/Recalls/2026/TOMY-Recalls-Boon-PIVOT-Collapsible-Toddler-Tower-Kitchen-Step-Stools-Due-to-Risk-of-Serious-Injury-and-Death-from-Tip-Over-and-Fall-Hazards
26-628,CPSC,2026-07-16,SDADI Kitchen Step Stools Recalled Due to Risk of Serious Injury and Death from Entrapment and Fall Hazards; Imported by Yiwushi Bihe Trading,Kids Furniture & Storage,"The recalled tower stools can collapse or tip over while in use, and a child’s torso can fit through the openings on the front and back sides, posing a risk of serious injury and death due to tip over, fall and entrapment hazards.","Consumers should stop using the recalled tower stools immediately, store them away from children and contact Yiwushi Bihe Trading for a full refund.",https://www.cpsc.gov/Recalls/2026/SDADI-Kitchen-Step-Stools-Recalled-Due-to-Risk-of-Serious-Injury-and-Death-from-Entrapment-and-Fall-Hazards-Imported-by-Yiwushi-Bihe-Trading
26-609,CPSC,2026-07-09,WonderStone Infant Walkers Recalled Due to Risk of Serious Injury or Death from Fall Hazard; Violate Mandatory Standard for Infant Walkers; Sold on Walmart.com by Wonder Stone Toys,Strollers & Carriers,"The recalled infant walkers violate the mandatory standard for infant walkers because they can fit through a standard doorway and fail to stop at the edge of a step, posing a risk of serious injury or death due to a fall hazard.",Consumers should stop using the recalled infant walkers immediately and contact Wonder Stone Toys for a full refund.,https://www.cpsc.gov/Recalls/2026/WonderStone-Infant-Walkers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-Hazard-Violate-Mandatory-Standard-for-Infant-Walkers-Sold-on-Walmart-com-by-Wonder-Stone-Toys
26-591,CPSC,2026-07-02,Vevor Recalls Baby Loungers Due to Risk of Serious Injury or Death from Entrapment and Fall Hazards; Violate Mandatory Standard for Infant Sleep Products,Cribs & Sleep,"The recalled baby loungers violate the mandatory safety standard for infant sleep products. The sides are too low to contain an infant and the enclosed openings at the foot of the loungers are wider than allowed, posing serious risks of fall and entrapment hazards to infants.","Consumers should stop using the recalled baby loungers immediately and contact Vevor for a full refund. Consumers will be asked to remove the foam and pad from the baby lounger’s cover and cut the cover, foam and pad in half.",https://www.cpsc.gov/Recalls/2026/Vevor-Recalls-Baby-Loungers-Due-to-Risk-of-Serious-Injury-or-Death-from-Entrapment-and-Fall-Hazards-Violate-Mandatory-Standard-for-Infant-Sleep-Products
26-594,CPSC,2026-07-02,Projecting LED Finger Light Toys Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by POPOOO,Toys & Games,The recalled LED finger lights violate the mandatory safety standard for toys because they contain button cell batteries that can be easily accessed by children.,"Consumers should stop using the recalled finger lights immediately, take them away from children and contact POPOOO for a full refund.",https://www.cpsc.gov/Recalls/2026/Projecting-LED-Finger-Light-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-POPOOO
26-596,CPSC,2026-07-02,AMASKY Nursing Pillows Recalled Due to Risk of Serious Injury or Death from Suffocation; Violate Mandatory Standards for Nursing Pillows and Infant Support Cushions; Sold on Amazon by Pretty-Life,Cribs & Sleep,"The recalled nursing pillows advertised for infant feeding and tummy time violate the mandatory safety standards for nursing pillows and infant support cushions because they can obstruct an infant’s breathing, posing a serious risk of injury or death from suffocation.",Consumers should stop using the recalled nursing pillows immediately and contact Pretty-Life for a full refund. Consumers will be asked to cut the pillow in half and send a photo of the destroyed pillow to amasky@126.com.,https://www.cpsc.gov/Recalls/2026/AMASKY-Nursing-Pillows-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-Violate-Mandatory-Standards-for-Nursing-Pillows-and-Infant-Support-Cushions-Sold-on-Amazon-by-Pretty-Life
26-598,CPSC,2026-07-02,Target Recalls Gigglescape™ Under the Sea Popping Toy Due to Choking Hazard,Toys & Games,"The clear plastic dome can detach from the blue plastic base, making the small plastic balls inside the toy accessible to children, posing a choking hazard.",Consumers should stop using the recalled toy immediately and return it to any Target store for a full refund or contact Target to receive a prepaid return label to return the Gigglescape Under The Sea Popping Toy by mail.,https://www.cpsc.gov/Recalls/2026/Target-Recalls-Gigglescape-Under-the-Sea-Popping-Toy-Due-to-Choking-Hazard
26-507,CPSC,2026-06-25,Kith Retail Recalls Children’s Loungewear Sets Due to Risk of Serious Injury from Burn Hazard; Violate Mandatory Standards for Children’s Sleepwear,Other Children's Products,"The recalled children’s loungewear sets violate the mandatory flammability standards for children’s sleepwear, posing a risk of serious burn injuries.",Consumers should stop using the loungewear immediately and contact Kith Retail for a full refund. Consumers will be asked to destroy the pajamas by cutting them in half and to send a photo of the destroyed pajamas to recalls@kithnyc.com then dispose of the product.,https://www.cpsc.gov/Recalls/2026/Kith-Retail-Recalls-Childrens-Loungewear-Sets-Due-to-Risk-of-Serious-Injury-from-Burn-Hazard-Violate-Mandatory-Standards-for-Childrens-Sleepwear
26-574,CPSC,2026-06-25,Yamazuki Recalls Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death from Crash; Violate Mandatory Standard for ATVs,"Bikes, Scooters & Ride-ons","The recalled youth ATVs violate the mandatory safety standard for ATVs because they are missing brake lights, reducing visibility of the youth ATV to other vehicles, posing a deadly crash hazard.",Consumers should stop using the recalled youth ATVs immediately and contact Yamazuki for a free repair kit.,https://www.cpsc.gov/Recalls/2026/Yamazuki-Recalls-Youth-All-Terrain-Vehicles-ATVs-Due-to-Risk-of-Serious-Injury-or-Death-from-Crash-Violate-Mandatory-Standard-for-ATVs
26-577,CPSC,2026-06-25,Shield Line Recalls MedPride Baby Oil Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violate Mandatory Standard for Child-Resistant Packaging,Other Children's Products,"The baby oil contains low-viscosity hydrocarbons, which must be in child-resistant packaging, as required by the Poison Prevention Packaging Act.",Consumers should secure the baby oil out of sight and reach of children immediately and contact Shield Line for a refund. Consumers will be asked to submit a photo of the recalled product in the trash to receive a full refund.,https://www.cpsc.gov/Recalls/2026/Shield-Line-Recalls-MedPride-Baby-Oil-Bottles-Due-to-Risk-of-Serious-Injury-or-Death-from-Child-Poisoning-Violate-Mandatory-Standard-for-Child-Resistant-Packaging
26-578,CPSC,2026-06-25,Raychy Children's Light Sneakers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Consumer Products with Coin Batteries; Imported by Carina and Rambo,Other Children's Products,"The recalled sneakers violate the mandatory standard for consumer products with button cell and coin batteries because the lithium coin batteries can be accessed easily by children, posing an ingestion hazard.",Consumers should stop using the sneakers immediately and contact Carina and Rambo for a refund.,https://www.cpsc.gov/Recalls/2026/Raychy-Childrens-Light-Sneakers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violate-Mandatory-Standard-for-Consumer-Products-with-Coin-Batteries-Imported-by-Carina-and-Rambo
26-579,CPSC,2026-06-25,Montessori Busy Board Toys Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by Small Fish,Toys & Games,"The busy boards violate the mandatory safety standard for toys because magnets can detach, posing a deadly ingestion hazard. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects and become lodged in the digestive system.",Consumers should stop using the recalled busy boards and immediately take them away from children. Consumers can contact Small Fish for information on how to receive a full refund.,https://www.cpsc.gov/Recalls/2026/Montessori-Busy-Board-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Magnet-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-Small-Fish
26-561,CPSC,2026-06-18,BABESIDE Doll and Stroller Children’s Toys Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Violate Small Parts Ban; Sold on Amazon by HYBDOLLS,Strollers & Carriers,"The recalled toys violate the small parts ban because they are intended for children under three and the small pacifier poses a deadly choking hazard to young children. In addition, the eyes on the plush bear can detach, also posing a choking hazard.","Consumers should stop using the recalled toys’ plush bear and pacifier immediately, take them away from children and contact HYBDOLLS for free replacement similar toy accessories, including shipping.",https://www.cpsc.gov/Recalls/2026/BABESIDE-Doll-and-Stroller-Childrens-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Hazard-Violate-Small-Parts-Ban-Sold-on-Amazon-by-HYBDOLLS
26-562,CPSC,2026-06-18,GOPO Toys Recalls Pull String Teething Toys Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys,Feeding & High Chairs,"The recalled teething toys violate the mandatory standard for toys because the silicone strings are smaller and longer than permitted. The strings can reach the back of children’s throat and become lodged, posing a serious risk of respiratory distress and deadly choking hazard.","Consumers should stop using the teething toy immediately, take it away from children and contact GOPO Toys to receive a full refund.",https://www.cpsc.gov/Recalls/2026/GOPO-Toys-Recalls-Pull-String-Teething-Toys-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violate-Mandatory-Standard-for-Toys
26-568,CPSC,2026-06-18,Joolz Recalls Aer2 Car Seat Adapters for Strollers Due to Risk of Serious Injury from Fall Hazard,Car Seats,"The recalled car seat adapters can fail to properly attach to the stroller, which may allow the car seat to fall, posing a risk of serious injury from a fall hazard.","Consumers should stop using the Joolz Aer2 Car Seat Adapters immediately, detach them from the stroller and go to to register for a full refund. The firm will provide a video on how to remove the Joolz Aer2 Car Seat Adapters from the stroller.",https://www.cpsc.gov/Recalls/2026/Joolz-Recalls-Aer2-Car-Seat-Adapters-for-Strollers-Due-to-Risk-of-Serious-Injury-from-Fall-Hazard
26-569,CPSC,2026-06-18,CooCooBaby Baby Loungers Recalled Due to Risk of Serious Injury or Death from Suffocation and Fall Hazards; Violates Mandatory Standard for Infant Sleep Products,Cribs & Sleep,"The baby loungers violate the mandatory standard for Infant Sleep Products because the sides are shorter than the minimum side height limit to secure the infant; the sleeping pad’s thickness exceeds the maximum limit, posing a suffocation hazard; and an infant could fall out of an enclosed opening a…",Consumers should stop using the baby loungers immediately and contact CooCooBaby for a full refund.,https://www.cpsc.gov/Recalls/2026/CooCooBaby-Baby-Loungers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-and-Fall-Hazards-Violates-Mandatory-Standard-for-Infant-Sleep-Products
H-1137-2026,FDA,2026-06-13,NARA ORGANICS INC Recalls a.) nara organics brand; Whole Milk Organic Infant Formula; Milk-based Powder with Iron; 0-12 months; NET WT 24.7 OZ (700 G); UPC: 860013251901 b.) nara organic…,Feeding & High Chairs,Product may be contaminated with Clostridium botulinum.,FDA Class I enforcement recall; status: ongoing.,https://www.accessdata.fda.gov/scripts/ires/index.cfm?Event=99242
26-538,CPSC,2026-06-11,LiKee Pull String Teething Toys Recalled Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys; Sold on Amazon by ChilanTech,Feeding & High Chairs,"The recalled teething toys violate the mandatory standard for toys because the silicone strings are smaller and longer than permitted. The strings can reach the back of children’s throat and become lodged, posing a serious risk of respiratory distress and deadly choking hazard.","Consumers should stop using the toy immediately, take it away from children and contact ChilanTech for free replacement toy of at least equal value, including shipping.",https://www.cpsc.gov/Recalls/2026/LiKee-Pull-String-Teething-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-ChilanTech
